Fichier_Frontend_ou_Backend,Methode,Endpoint,Statut,Note
features/seller/sellerOnboardingApi.ts,PATCH,/vendor/shop,MATCHED,compatibility.js
features/seller/sellerKycApi.ts,GET,/users/me,MATCHED,users.js
features/seller/sellerApi.ts,GET,/vendor/products?${qs},MATCHED,compatibility.js
features/seller/sellerApi.ts,PUT,/vendor/products/${encodeURIComponent(id)},MATCHED,compatibility.js
features/seller/sellerApi.ts,DELETE,/vendor/products/${encodeURIComponent(id)},MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/products/${encodeURIComponent(id)}/media,MATCHED,compatibility.js
features/seller/sellerApi.ts,DELETE,/vendor/products/${encodeURIComponent(id)}/media/${encodeURIComponent(mediaId)},MATCHED,compatibility.js
features/seller/sellerApi.ts,PATCH,/vendor/inventory/${encodeURIComponent(id)},MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/orders?${qs},MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/orders/${encodeURIComponent(id)},MATCHED,compatibility.js
features/seller/sellerApi.ts,POST,/vendor/orders/${encodeURIComponent(id)}/confirm,MATCHED,compatibility.js
features/seller/sellerApi.ts,POST,/vendor/orders/${encodeURIComponent(id)}/ready,MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/analytics?${new URLSearchParams({period})},MATCHED,compatibility.js
features/seller/sellerApi.ts,DELETE,/vendor/videos/${encodeURIComponent(id)},MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/chat/conversations/${encodeURIComponent(id)}/messages,MATCHED,chat.js
features/seller/sellerApi.ts,POST,/chat/conversations/${encodeURIComponent(id)}/messages,MATCHED,chat.js
features/seller/sellerApi.ts,POST,/chat/conversations/${encodeURIComponent(id)}/read,MATCHED,chat.js
features/seller/sellerApi.ts,GET,/vendor/dashboard,MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/shop,MATCHED,compatibility.js
features/seller/sellerApi.ts,PATCH,/vendor/shop,MATCHED,compatibility.js
features/seller/sellerApi.ts,POST,/vendor/products,MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/vendor/inventory,MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/payouts/mine,MATCHED,payouts.js
features/seller/sellerApi.ts,GET,/escrow/balance,MATCHED,escrow.js
features/seller/sellerApi.ts,POST,/payouts,MATCHED,payouts.js
features/seller/sellerApi.ts,GET,/vendor/videos,MATCHED,compatibility.js
features/seller/sellerApi.ts,GET,/chat/conversations,MATCHED,chat.js
features/auth/authApi.ts,POST,/auth/register,MATCHED,Session 9: payload now includes password+password_confirmation; AuthProvider.register() now persists the returned session directly (previously discarded it — see RAPPORT_AUDIT_SESSION9_AUTH.md)
features/auth/authApi.ts,POST,/auth/otp/send,MATCHED,auth.js
features/auth/authApi.ts,POST,/auth/otp/verify,REMOVED_SESSION9,OTP/SMS removed from account opening — verifyOtp() and this route deleted; password-based register()/login() replace it entirely (see RAPPORT_AUDIT_SESSION9_AUTH.md)
features/auth/authApi.ts,POST,/auth/refresh,MATCHED,auth.js
features/auth/authApi.ts,POST,/auth/login,MATCHED,"Session 9: this row previously only confirmed authApi.ts declares the call — AuthProvider had NO login() method to invoke it, and LoginScreen was OTP-only, so this endpoint had no real caller in practice. Both fixed (see RAPPORT_AUDIT_SESSION9_AUTH.md)."
features/auth/authApi.ts,POST,/auth/logout,MATCHED,auth.js
features/auth/AuthProvider.tsx,GET,/users/me,MATCHED,users.js
features/social/socialApi.ts,GET,/feed?${qs},MATCHED,compatibility.js
features/social/socialApi.ts,POST,/social/${encodeURIComponent(id)}/like,MATCHED,compatibility.js
features/social/socialApi.ts,DELETE,/social/${encodeURIComponent(id)}/like,MATCHED,compatibility.js
features/social/socialApi.ts,GET,/social/${encodeURIComponent(id)}/comments,MATCHED,compatibility.js
features/social/socialApi.ts,POST,/social/${encodeURIComponent(id)}/comments,MATCHED,compatibility.js
features/social/socialApi.ts,POST,/social/vendors/${encodeURIComponent(vendorId)}/follow,MATCHED,compatibility.js
features/social/socialApi.ts,DELETE,/social/vendors/${encodeURIComponent(vendorId)}/follow,MATCHED,compatibility.js
features/social/socialApi.ts,POST,/social/${encodeURIComponent(id)}/share,MATCHED,compatibility.js
features/orders/ordersApi.ts,GET,/orders?${qs},MATCHED,orders.js
features/orders/ordersApi.ts,GET,/orders/${encodeURIComponent(id)},MATCHED,compatibility.js
features/orders/ordersApi.ts,POST,/orders/${encodeURIComponent(id)}/confirm-receipt,MATCHED,compatibility.js
features/orders/ordersApi.ts,POST,/orders/${encodeURIComponent(id)}/review,MATCHED,orders.js
features/orders/ordersApi.ts,POST,/orders/${encodeURIComponent(id)}/cancel,MATCHED,orders.js
features/profile/profileApi.ts,POST,/auth/sessions/${encodeURIComponent(sessionId)}/revoke,MATCHED,authSessions.js
features/profile/profileApi.ts,GET,/users/me,MATCHED,users.js
features/profile/profileApi.ts,PATCH,/users/me,MATCHED,users.js
features/profile/profileApi.ts,GET,/auth/sessions,MATCHED,authSessions.js
features/profile/profileApi.ts,POST,/auth/sessions/password,MATCHED,authSessions.js
features/transporter/transporterApi.ts,GET,/transporter/missions?${qs(params)},MATCHED,compatibility.js
features/transporter/transporterApi.ts,GET,/transporter/missions/${encodeURIComponent(id)},MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/missions/${encodeURIComponent(id)}/accept,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/missions/${encodeURIComponent(id)}/reject,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/missions/${encodeURIComponent(id)}/pickup,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/missions/${encodeURIComponent(id)}/arrive,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/missions/${encodeURIComponent(id)}/deliver,MATCHED,compatibility.js
features/transporter/transporterApi.ts,GET,/transporter/earnings?${qs(params)},MATCHED,compatibility.js
features/transporter/transporterApi.ts,GET,/transporter/history?${qs(params)},MATCHED,compatibility.js
features/transporter/transporterApi.ts,GET,/transporter/dashboard,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/transporter/location,MATCHED,compatibility.js
features/transporter/transporterApi.ts,PATCH,/transporter/availability,MATCHED,compatibility.js
features/transporter/transporterApi.ts,GET,/transporter/wallet,MATCHED,compatibility.js
features/transporter/transporterApi.ts,POST,/payouts,MATCHED,payouts.js
features/transporter/transporterApi.ts,POST,/transporter/qr/scan,MATCHED,compatibility.js
features/notifications/notificationsApi.ts,POST,/notifications/${encodeURIComponent(id)}/read,MATCHED,notifications.js
